frame,timestamp,player_id,shot_type,confidence
4,0.16,,forehand,0.95
14,0.56,,serve_or_smash,0.936
22,0.88,,serve_or_smash,0.95
33,1.32,,backhand,0.95
57,2.28,,serve_or_smash,0.95
67,2.68,,serve_or_smash,0.95
83,3.32,,forehand,0.799
92,3.68,,serve_or_smash,0.95
101,4.04,,serve_or_smash,0.95
109,4.36,,serve_or_smash,0.95
117,4.68,,serve_or_smash,0.95
125,5.0,,forehand,0.95
174,6.96,,forehand,0.95
184,7.36,,backhand,0.9
192,7.68,,forehand,0.95
200,8.0,,forehand,0.95
208,8.32,,backhand,0.797
234,9.36,,forehand,0.909
250,10.0,,forehand,0.95
258,10.32,,serve_or_smash,0.95
266,10.64,,serve_or_smash,0.782
274,10.96,,backhand,0.95
286,11.44,,backhand,0.95
305,12.2,,forehand,0.95
313,12.52,,serve_or_smash,0.95
321,12.84,,serve_or_smash,0.822
329,13.16,,serve_or_smash,0.822
337,13.48,,forehand,0.95
345,13.8,,forehand,0.95
353,14.12,,forehand,0.95
361,14.44,,serve_or_smash,0.865
369,14.76,,forehand,0.95
378,15.12,,forehand,0.95
386,15.44,,serve_or_smash,0.95
394,15.76,,serve_or_smash,0.95
404,16.16,,backhand,0.95
426,17.04,,backhand,0.95
458,18.32,,forehand,0.95
467,18.68,,forehand,0.95
475,19.0,,forehand,0.95
507,20.28,,serve_or_smash,0.95
515,20.6,,backhand,0.95
523,20.92,,serve_or_smash,0.95
543,21.72,,serve_or_smash,0.734
553,22.12,,forehand,0.95
562,22.48,,forehand,0.749
570,22.8,,forehand,0.95
580,23.2,,backhand,0.95
592,23.68,,forehand,0.803
601,24.04,,forehand,0.75
609,24.36,,forehand,0.837
618,24.72,,forehand,0.776
626,25.04,,forehand,0.95
634,25.36,,forehand,0.778
643,25.72,,forehand,0.95
651,26.04,,forehand,0.893
661,26.44,,backhand,0.95
669,26.76,,forehand,0.95
677,27.08,,forehand,0.95
698,27.92,,serve_or_smash,0.95
706,28.24,,serve_or_smash,0.949
716,28.64,,backhand,0.795
725,29.0,,forehand,0.95
740,29.6,,backhand,0.95
765,30.6,,backhand,0.95
773,30.92,,forehand,0.95
783,31.32,,forehand,0.95
791,31.64,,forehand,0.864
799,31.96,,forehand,0.95
812,32.48,,serve_or_smash,0.95
820,32.8,,forehand,0.756
828,33.12,,forehand,0.95
836,33.44,,forehand,0.95
844,33.76,,backhand,0.95
852,34.08,,forehand,0.95
864,34.56,,serve_or_smash,0.95
879,35.16,,forehand,0.95
887,35.48,,forehand,0.95
907,36.28,,serve_or_smash,0.923
916,36.64,,serve_or_smash,0.95
924,36.96,,backhand,0.95
932,37.28,,backhand,0.95
944,37.76,,backhand,0.95
952,38.08,,backhand,0.73
960,38.4,,forehand,0.735
968,38.72,,forehand,0.777
976,39.04,,forehand,0.95
984,39.36,,serve_or_smash,0.932
1003,40.12,,forehand,0.95
1015,40.6,,backhand,0.743
1023,40.92,,forehand,0.95
1031,41.24,,backhand,0.893
1039,41.56,,forehand,0.95
1047,41.88,,forehand,0.893
1055,42.2,,forehand,0.95
1065,42.6,,forehand,0.95
1073,42.92,,backhand,0.95
1081,43.24,,serve_or_smash,0.95
1089,43.56,,serve_or_smash,0.95
1108,44.32,,backhand,0.795
1117,44.68,,backhand,0.95
1126,45.04,,serve_or_smash,0.95
1139,45.56,,backhand,0.95
1151,46.04,,serve_or_smash,0.95
1178,47.12,,forehand,0.95
1189,47.56,,forehand,0.95
1197,47.88,,serve_or_smash,0.926
1207,48.28,,forehand,0.95
1215,48.6,,serve_or_smash,0.95
1223,48.92,,forehand,0.95
1252,50.08,,forehand,0.95
1268,50.72,,backhand,0.95
1281,51.24,,serve_or_smash,0.95
1290,51.6,,forehand,0.91
1298,51.92,,forehand,0.95
1307,52.28,,serve_or_smash,0.95
1315,52.6,,serve_or_smash,0.95
1330,53.2,,backhand,0.95
1346,53.84,,serve_or_smash,0.95
1354,54.16,,serve_or_smash,0.95
1363,54.52,,serve_or_smash,0.789
1371,54.84,,forehand,0.885
1379,55.16,,backhand,0.757
1387,55.48,,forehand,0.95
1395,55.8,,forehand,0.95
1404,56.16,,forehand,0.95
1412,56.48,,forehand,0.95
1421,56.84,,backhand,0.768
1436,57.44,,backhand,0.95
1444,57.76,,backhand,0.95
1452,58.08,,serve_or_smash,0.95
1460,58.4,,backhand,0.76
1468,58.72,,serve_or_smash,0.95
1476,59.04,,serve_or_smash,0.916
1485,59.4,,backhand,0.95
1494,59.76,,forehand,0.95
1502,60.08,,backhand,0.95
1516,60.64,,serve_or_smash,0.875
1524,60.96,,serve_or_smash,0.95
1532,61.28,,serve_or_smash,0.95
1540,61.6,,forehand,0.95
1548,61.92,,forehand,0.95
1556,62.24,,forehand,0.95
1564,62.56,,forehand,0.95
1600,64.0,,forehand,0.95
1618,64.72,,backhand,0.95
1626,65.04,,forehand,0.95
1634,65.36,,serve_or_smash,0.95
1643,65.72,,forehand,0.873
1670,66.8,,forehand,0.95
1678,67.12,,forehand,0.95
1686,67.44,,serve_or_smash,0.95
1694,67.76,,forehand,0.95
1703,68.12,,serve_or_smash,0.95
1713,68.52,,serve_or_smash,0.844
1731,69.24,,backhand,0.95
